week_end,price_avg_usd
2016-06-05,0.901302248225
2016-06-12,1.16847257954286
2016-06-19,0.897960713928571
2016-06-26,0.210175141714286
2016-07-03,0.160499140642857
2016-07-10,0.218792855742857
2016-07-17,0.200270576128571
2016-07-24,0.205664713457143
2016-07-31,0.1830655698
2016-08-07,0.153984572214286
2016-08-14,0.178511570628571
2016-08-21,0.176116430328571
2016-08-28,0.168838426471429
2016-09-04,0.163520715085714
2016-09-11,0.1641778584
2016-09-18,0.173242573214286
2016-09-25,0.1922347141
2016-10-02,0.1818084291
2016-10-09,0.207282998728571
2016-10-16,0.2152298561
2016-10-23,0.260847289657143
2016-10-30,0.342235999442857
2016-11-06,0.347183001914286
2016-11-13,0.3737771426
2016-11-20,0.323500569371429
2016-11-27,0.258217860557143
2016-12-04,0.256272716171429
2016-12-11,0.234184145957143
2016-12-18,0.231097570485714
2016-12-25,0.200559286157143
2017-01-01,0.212267567014286
2017-01-08,0.226750714428571
2017-01-15,0.219761571714286
2017-01-22,0.242907426171429
2017-01-29,0.238278282528571
2017-02-05,0.225607284485714
2017-02-12,0.251790285128571
2017-02-19,0.245212427214286
2017-02-26,0.223762284428571
2017-03-05,0.204183714728571
2017-03-12,0.218485855614286
2017-03-19,0.278476710857143
2017-03-26,0.288742282571429
2017-04-02,0.370125289457143
2017-04-09,0.390199567585714
2017-04-16,0.429342572185714
2017-04-23,0.469899134971429
2017-04-30,0.572847136428572
2017-05-07,0.703631000842857
2017-05-14,1.11652415138571
2017-05-21,1.48092000825714
2017-05-28,2.39181573048571
2017-06-04,3.7884528637
2017-06-11,5.8179070609
2017-06-18,5.26075151988571
2017-06-25,4.96032994134286
2017-07-02,3.87884286471429
2017-07-09,4.06816288402857
2017-07-16,2.54356571605714
2017-07-23,3.14705286708571
2017-07-30,2.929961477
2017-08-06,3.7634957518
2017-08-13,5.32688992365714
2017-08-20,4.64569861548571
2017-08-27,4.89780562264286
2017-09-03,5.47226285934286
2017-09-10,4.73534570421429
2017-09-17,3.8487285546
2017-09-24,3.98797573362857
2017-10-01,4.84322289058571
2017-10-08,4.84283147538571
2017-10-15,3.98408859117143
2017-10-22,3.81468285832857
2017-10-29,3.61293428284286
2017-11-05,3.36570426395714
2017-11-12,4.09741854667143
2017-11-19,4.91848427911429
2017-11-26,5.31518718172857
2017-12-03,5.67768853052857
2017-12-10,8.2777244704
2017-12-17,13.3423143114286
2017-12-24,14.7624143873
2017-12-31,13.2591141292143
2018-01-07,12.7608285631429
2018-01-14,12.0477286747429
2018-01-21,8.92793001448571
2018-01-28,8.8066500255
2018-02-04,7.03362001692857
2018-02-11,5.33708429335714
2018-02-18,7.01500572477143
2018-02-25,7.11228009632857
2018-03-04,6.66618142808571
2018-03-11,6.04805714741429
2018-03-18,5.05172000611429
2018-03-25,4.83500712258571
2018-04-01,3.87724716322857
2018-04-08,3.64940711431429
2018-04-15,4.1355156558
2018-04-22,5.05854708808571
2018-04-29,5.88210998261429
2018-05-06,7.26115710395714
2018-05-13,6.44938428061429
2018-05-20,6.09851299014286
2018-05-27,4.76893009458571
2018-06-03,4.18323002544286
2018-06-10,4.30030001912857
2018-06-17,3.50996429578571
2018-06-24,3.29419858114286
2018-07-01,2.72732574598571
2018-07-08,3.01319003102857
2018-07-15,2.73722280774286
2018-07-22,2.94083568027143
2018-07-29,2.6819214821
2018-08-05,2.09030142857143
2018-08-12,1.81423857142857
2018-08-19,2.02709857142857
2018-08-26,2.20148428571429
2018-09-02,2.18054428571429
2018-09-09,2.02921714285714
2018-09-16,2.29687571428571
2018-09-23,2.20364428571429
2018-09-30,2.24032714285714
2018-10-07,2.1429
2018-10-14,1.98932714285714
2018-10-21,1.98718857142857
2018-10-28,1.93342714285714
2018-11-04,1.82061428571429
2018-11-11,1.79348857142857
2018-11-18,1.56862142857143
2018-11-25,1.10905128571429
2018-12-02,1.21746540831429
2018-12-09,1.67855202035714
2018-12-16,2.07469913305714
2018-12-23,3.57535837164286
2018-12-30,3.25834815937143
2019-01-06,3.14528934105714
2019-01-13,2.74030860982857
2019-01-20,2.60769712982857
2019-01-27,2.76221945742857
2019-02-03,2.82947624881429
